Account Name,Account Type,Request Type,Status,Request Received Date,Row Type,Start Date/Time,End Date/Time,Nights/Days,Meal Plan,Total Rooms,Total Room Nights,Total Cost,Number of Guests,Package Plan,Meeting Room Name,Event Start Date,Event End Date
Glomacs Training and Consulting,Training and Consulting,Event with Rooms,Actual,10/26/2025,Event,11/5/2025,11/5/2025,1,,,,4255,8,2 Coffee Break and lunch or dinner,AL JADIDA,11/5/2025,11/5/2025
Glomacs Training and Consulting,Training and Consulting,Event with Rooms,Actual,10/26/2025,Event,11/6/2025,11/6/2025,1,,,,4255,8,2 Coffee Break and lunch or dinner,AL JADIDA,11/6/2025,11/6/2025
Glomacs Training and Consulting,Training and Consulting,Event with Rooms,Actual,10/26/2025,Event,11/7/2025,11/7/2025,1,,,,3565,8,2 Coffee Break and lunch or dinner,AL JADIDA,11/7/2025,11/7/2025
U.S. Consulate General Jeddah,Government,Series Group,Actual,9/29/2025,Series Entry 1,9/30/2025,10/2/2025,2,,2,4,10143,,,,,
U.S. Consulate General Jeddah,Government,Series Group,Actual,9/29/2025,Series Entry 2,10/1/2025,10/3/2025,2,,2,4,10143,,,,,
ATS Travel,Travel Agency,Group Accommodation,Actual,11/16/2025,Accommodation,12/26/2025,12/28/2025,2,Bed & Breakfast,1,2,14852.26,,,,,
Alsarh Travel & Tourism,Travel Agency,Group Accommodation,Actual,11/2/2025,Accommodation,11/10/2025,11/13/2025,3,Bed & Breakfast,1,3,6366.57,,,,,
UTA First Trip,Travel Agency,Group Accommodation,Actual,10/24/2025,Accommodation,10/25/2025,10/28/2025,3,Bed & Breakfast,1,3,5143.95,,,,,
Ushine HalaNawart Tour Operator Company,Travel Agency,Group Accommodation,Actual,12/8/2025,Accommodation,12/23/2025,12/24/2025,1,Bed & Breakfast,11,11,25016.46,,,,,
G-Tour,Travel Agency,Group Accommodation,Actual,12/8/2025,Accommodation,12/21/2025,12/23/2025,2,Bed & Breakfast,8,16,33472.04,,,,,
CDC - Air Bridge,Company,Group Accommodation,Actual,11/17/2025,Accommodation,1/5/2026,1/8/2026,3,Bed & Breakfast,2,6,28327.95,,,,,
Masar Thmanyah,Travel Agency,Group Accommodation,Actual,12/8/2025,Accommodation,1/14/2026,1/16/2026,2,Bed & Breakfast,2,4,8005.76,,,,,
Ajaz Travel,Travel Agency,Series Group,Actual,12/9/2025,Series Entry 1,12/10/2025,12/12/2025,2,,1,2,4890.38,,,,,
Ajaz Travel,Travel Agency,Series Group,Actual,12/9/2025,Series Entry 2,12/11/2025,12/12/2025,1,,2,2,4890.38,,,,,
Al-Ula Guide,Travel Agency,Group Accommodation,Actual,12/4/2025,Accommodation,12/23/2025,12/27/2025,4,Bed & Breakfast,2,8,24415.64,,,,,
GoZahid,Travel Agency,Group Accommodation,Actual,12/8/2025,Accommodation,12/11/2025,12/12/2025,1,Bed & Breakfast,1,1,3073.09,,,,,
Al-Ula Guide,Travel Agency,Series Group,Actual,12/8/2025,Series Entry 1,12/23/2025,12/27/2025,4,,1,4,8005.76,,,,,
Al-Ula Guide,Travel Agency,Series Group,Actual,12/8/2025,Series Entry 2,12/24/2025,12/27/2025,3,,5,15,30021.6,,,,,
Royal Clinics,Government,Series Group,Actual,1/4/2026,Series Entry 1,12/13/2025,12/15/2025,2,,1,2,6658.38,,,,,
Royal Clinics,Government,Series Group,Actual,1/4/2026,Series Entry 2,12/23/2025,1/1/2026,9,,2,18,55008,,,,,
CPPA,Government,Group Accommodation,Actual,1/4/2026,Accommodation,12/28/2025,12/31/2025,3,Bed & Breakfast,2,6,17020.5,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 1,9/2/2025,9/3/2025,1,,20,20,19513.2,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 2,10/10/2025,10/13/2025,3,,5,15,17999.85,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 3,10/14/2025,10/16/2025,2,,3,6,5999.94,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 4,10/14/2025,10/16/2025,2,,5,10,11999.9,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 5,10/17/2025,10/20/2025,3,,5,15,14999.85,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 6,10/17/2025,10/20/2025,3,,2,6,7199.94,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 7,10/24/2025,10/27/2025,3,,4,12,11999.88,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 8,10/24/2025,10/27/2025,3,,2,6,7199.94,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 9,11/14/2025,11/17/2025,3,,4,12,17388,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 10,11/14/2025,11/17/2025,3,,3,9,15214.5,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 11,11/20/2025,11/22/2025,2,,3,6,8694,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 12,11/20/2025,11/22/2025,2,,2,4,6762,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 13,11/21/2025,11/24/2025,3,,1,3,5999.97,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 14,11/21/2025,11/24/2025,3,,6,18,28800,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 15,12/3/2025,12/5/2025,2,,4,8,17388,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 16,12/3/2025,12/5/2025,2,,2,4,7728,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 17,12/3/2025,12/5/2025,2,,1,2,2898,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 18,12/5/2025,12/8/2025,3,,2,6,8694,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 19,12/5/2025,12/8/2025,3,,2,6,10143,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 20,12/8/2025,12/9/2025,1,,1,1,1690.5,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 21,12/8/2025,12/10/2025,2,,14,28,47334,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 22,12/8/2025,12/11/2025,3,,3,9,15214.5,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 23,12/8/2025,12/11/2025,3,,8,24,34776,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 24,12/12/2025,12/15/2025,3,,1,3,4347,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 25,12/12/2025,12/15/2025,3,,3,9,15214.5,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 26,12/24/2025,12/26/2025,2,,6,12,20286,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 27,12/24/2025,12/26/2025,2,,3,6,8694,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 28,12/26/2025,12/29/2025,3,,4,12,17388,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 29,12/26/2025,12/29/2025,3,,1,3,5071.5,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 30,12/30/2025,1/1/2026,2,,10,20,28980,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 31,12/30/2025,1/1/2026,2,,2,4,6762,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 32,1/1/2026,1/3/2026,2,,8,16,23184,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 33,1/1/2026,1/3/2026,2,,6,12,20286,,,,,
88 Destinations,Travel Agency,Series Group,Actual,9/2/2025,Series Entry 34,1/1/2026,1/3/2026,2,,1,2,4347,,,,,
GTS Travel,Travel Agency,Series Group,Actual,10/9/2025,Series Entry 1,12/19/2025,12/23/2025,4,,5,20,41055,,,,,
GTS Travel,Travel Agency,Series Group,Actual,10/9/2025,Series Entry 2,12/20/2025,12/23/2025,3,,7,21,43107.75,,,,,
GTS Travel,Travel Agency,Series Group,Actual,10/9/2025,Series Entry 3,12/20/2025,12/23/2025,3,,9,27,70258.32,,,,,
GTS Travel,Travel Agency,Series Group,Actual,10/9/2025,Series Entry 4,12/20/2025,12/22/2025,2,,1,2,4105.5,,,,,
GTS Travel,Travel Agency,Event Only,Actual,10/12/2025,Event,12/21/2025,12/21/2025,1,,,,10120,20,2 Coffee Break and lunch or dinner,DADAN,12/21/2025,12/21/2025
GTS Travel,Travel Agency,Event Only,Actual,10/12/2025,Event,12/22/2025,12/22/2025,1,,,,10120,20,2 Coffee Break and lunch or dinner,AL JADIDA,12/22/2025,12/22/2025
GTS Travel,Travel Agency,Event Only,Actual,10/12/2025,Event,12/22/2025,12/22/2025,1,,,,5290,8,2 Coffee Break and lunch or dinner,AL JADIDA,12/22/2025,12/22/2025
GTS Travel,Travel Agency,Event Only,Actual,10/12/2025,Event,12/22/2025,12/22/2025,1,,,,5286,8,2 Coffee Break and lunch or dinner,IKMA,12/22/2025,12/22/2025
Marafiq,Company,Event Only,Actual,10/19/2025,Event,12/16/2025,12/16/2025,1,,,,9200,20,Coffee Break and lunch,AL JADIDA,12/16/2025,12/16/2025
Marafiq,Company,Event Only,Actual,10/19/2025,Event,12/17/2025,12/17/2025,1,,,,9200,20,Coffee Break and lunch,AL JADIDA,12/17/2025,12/17/2025
Ertyad Training,Training and Consulting,Event Only,Actual,10/20/2025,Event,12/1/2025,12/1/2025,1,,,,5750,10,Coffee Break and lunch,AL JADIDA,12/1/2025,12/1/2025
Ertyad Training,Training and Consulting,Event Only,Actual,10/20/2025,Event,12/2/2025,12/2/2025,1,,,,5750,10,Coffee Break and lunch,AL JADIDA,12/2/2025,12/2/2025
Ertyad Training,Training and Consulting,Event Only,Actual,10/20/2025,Event,12/3/2025,12/3/2025,1,,,,5750,10,Coffee Break and lunch,AL JADIDA,12/3/2025,12/3/2025
